"","Intercept","lnDiam","Wetness","spp.cagl","spp.cato","spp.fram","spp.list","spp.litu","spp.pita","spp.qual","sppqufa","spp.ulal","lnDiamxWetness","Aleaf"
"21",1,3.93182563272433,5.6754694,0,0,0,1,0,0,0,0,0,22.3149560646625,25.1405278912746
"22",1,2.2935443483419,5.837487,0,1,0,0,0,0,0,0,0,13.3885353173693,4.89871182365798
"23",1,3.34638914516716,5.358243,1,0,0,0,0,0,0,0,0,17.9307662123679,28.6952867029767
"24",1,3.69635146895264,4.274359,0,1,0,0,0,0,0,0,0,15.7995331684809,27.8971407321457
"25",1,4.26408733680919,6.120984,0,0,0,0,0,0,0,1,0,26.1004103632117,24.0688889257211
"26",1,3.57515068878559,6.92653,0,1,0,0,0,0,0,0,0,24.7633885003941,18.6374615256159
"27",1,3.95795193731655,6.392027,0,0,0,0,1,0,0,0,0,25.2993356480297,64.1706910358948
"28",1,3.88053233833678,6.92653,0,0,0,1,0,0,0,0,0,26.8786236574598,13.5112832544411
"29",1,3.07269331469012,6.055774,0,0,0,0,0,0,1,0,0,18.6075362850742,10.2734974959374
"30",1,3.12588295801904,6.010283,0,0,0,0,1,0,0,0,0,18.7874412025715,20.4965282401207
"31",1,3.65816248145188,6.169584,0,0,0,1,0,0,0,0,0,22.5693407149658,52.2600526731901
"32",1,2.91235066461494,6.120984,0,0,0,1,0,0,0,0,0,17.8264518204974,8.65328039367364
"33",1,3.24024585060439,6.235392,0,0,0,0,0,0,0,1,0,20.2042030548918,10.8518721822657
"34",1,3.89182029811063,6.008414,1,0,0,0,0,0,0,0,0,23.3836675646521,71.7885442801477
"35",1,3.14759462286324,6.263058,0,0,0,0,0,0,0,0,1,19.7135676834806,9.75775089986996
"36",1,3.77574498713552,6.185751,0,0,0,0,0,1,0,0,0,23.3558183299185,71.4712932940628
"37",1,2.88480071284671,5.766858,0,0,1,0,0,0,0,0,0,16.6362360692857,4.76200540538293
"38",1,2.99822915375258,6.263058,0,0,1,0,0,0,0,0,0,18.7780830872433,10.66234670906
"39",1,2.80457176809283,6.055774,0,0,0,0,0,0,0,0,1,16.9838527943506,5.31911302408041
"40",1,3.53164067768744,6.055774,0,0,0,0,0,0,0,0,0,21.386817793282,16.2822493477818
"41",1,3.08648663682246,6.055774,0,0,0,1,0,0,0,0,0,18.6910655266169,5.91615742529097
"42",1,3.80999027986299,6.055774,0,0,0,0,0,0,0,1,0,23.072440077047,17.463597353363
"43",1,2.75302356674494,6.027618,0,1,0,0,0,0,0,0,0,16.594174405336,13.1315930128426
"44",1,3.45442214289945,6.027618,0,0,0,0,0,0,0,1,0,20.8219370881393,13.0361635474632
"45",1,3.10099278421148,6.008414,0,0,0,1,0,0,0,0,0,18.6320484585553,12.4085701333875
"46",1,3.53660201866836,6.564453,0,0,0,1,0,0,0,0,0,23.2158577312536,38.5508614366293
"47",1,4.1018165770608,6.477086,0,0,0,0,1,0,0,0,0,26.5678187258484,23.7716495010486
"48",1,2.96784707006446,6.311348,0,0,0,0,0,0,0,0,0,18.7311156699572,15.407406054182
"49",1,2.42036812865043,5.6754694,0,0,0,0,0,0,0,0,1,13.7367252508908,2.66045602399951
"50",1,3.26956893918372,7.132193,0,0,0,0,1,0,0,0,0,23.3191967010635,10.8003040695661
"51",1,3.5530597309714,5.6754694,0,0,0,0,0,0,0,1,0,20.1652817795004,28.6755130740445
"52",1,3.57906458810673,5.842258,0,0,0,0,0,0,1,0,0,20.9098187223832,30.3571799317114
"53",1,2.45014265735166,5.842258,0,1,0,0,0,0,0,0,0,14.314365541054,5.68053124869043
"54",1,3.63230910262554,5.077045,0,0,0,0,0,1,0,0,0,18.4413967679395,42.4161690388302
"55",1,2.5922651681085,5.837487,0,0,0,0,0,0,0,0,1,15.1323142193862,6.04608561326534
"56",1,2.92046978905344,5.077045,0,0,0,0,0,0,0,0,1,14.8273565401648,4.80515808039048
"57",1,3.25231060095444,5.837487,1,0,0,0,0,0,0,0,0,18.9853208530337,19.2054726485599
"58",1,3.48216274048526,5.089801,0,0,1,0,0,0,0,0,0,17.7235153986846,17.1818776746541
"59",1,2.78006073707848,5.837487,0,0,0,0,0,0,0,0,1,16.2285684119061,11.9444362783911
"60",1,2.95230271562665,5.089801,0,0,0,0,0,0,1,0,0,15.0266333142993,13.7443679664655
