"i","d","t","pet","y"
1,2,1,4.29220817122747,11.9362162757397
1,2,2,4.43637762533676,20.4505830103289
1,2,3,4.34591047080553,22.1055312391257
1,2,4,4.48254818240704,23.8337008911663
1,2,5,3.93385732550334,19.991639074519
1,2,6,4.87320960277148,23.6076064492011
1,2,7,3.55729253967226,21.976351322041
1,2,8,3.66394316036312,21.1137573667624
1,2,9,4.92948836886865,17.5970351715078
1,2,10,4.8958412911616,19.4052179799835
1,2,11,3.36397153346545,17.4257565498914
1,2,12,4.96176865992114,19.268802956116
1,2,13,4.58935225848,18.9861043678799
1,2,14,4.48258423051379,21.5917910857288
1,2,15,4.84165712327735,20.0105999336557
1,2,16,5.01291539818997,18.0377847365074
1,2,17,3.73899207956849,13.6688779319301
1,2,18,3.82783377213968,14.0177018952366
1,2,19,5.17858367286629,19.413881629426
1,2,20,4.51520086799634,21.198051161526
1,2,21,5.23853638817177,29.630189205106
1,2,22,5.04971958933976,21.9284611713029
1,2,23,1.43928925990338,3.78005391526223
1,2,24,5.21854567116216,16.9801477339015
1,2,25,5.40046583767273,19.858781745737
1,2,26,5.01783044024346,10.8351231186603
1,2,27,4.90011150354286,8.04857264408929
1,3,1,1.39996243931057,0.855285417067317
1,3,2,2.3512963292251,9.47491186427332
1,3,3,2.92994993021224,20.3135036036191
1,3,4,3.81373104031292,23.647445616689
1,3,5,3.98574420950562,21.6336771635332
1,3,6,3.91559169471126,20.3574020645916
1,3,7,3.74594228081072,18.5671047077586
1,3,8,4.01286086931368,17.4032419401528
1,3,9,3.26842716664155,16.665147051736
1,3,10,3.34776319445982,11.6177646930071
1,3,11,3.7522120708205,9.59698295213814
1,3,12,3.38776513507696,9.51998066212112
1,3,13,4.28989691430095,8.91442268483306
1,3,14,2.59674594069373,7.01634877379154
1,3,15,0.627734077888052,3.18958131382869
1,4,1,3.70271079637864,16.6556262391483
1,4,2,3.05112700321364,12.960789165623
1,4,3,4.36431973968936,20.6931504131348
1,4,4,4.26576146080872,18.7095238552421
1,4,5,4.36928381460685,22.0768027008032
1,4,6,4.16655717296622,25.5633870387743
1,4,7,4.46196045643233,25.6294095949161
1,4,8,4.45861743906531,23.5636709222642
1,4,9,4.4155362032482,24.1869232088219
1,4,10,3.9901212494371,20.4909933717566
1,4,11,4.22585844147251,17.9882833141644
1,4,12,3.7747916040917,19.0351180050237
1,4,13,4.27035605528995,18.3771171146325
1,4,14,3.04686273744265,16.2800053843996
1,4,15,4.02396028525066,19.1223687352756
1,4,16,3.91819089546445,17.4673431016113
1,5,1,1.86626389120802,1.52361939078548
1,5,2,1.76331375224779,6.19888933128009
1,5,3,1.68270406459279,8.88533096857152
1,5,4,1.94256955045978,8.90856000815256
1,5,5,2.01911443645011,11.1430323680844
1,5,6,1.74280626085821,10.539261130419
1,5,7,1.54699096797779,10.1342322067392
1,5,8,1.82428306629963,11.2996733622386
1,5,9,1.67471273174536,11.7861703552405
1,5,10,1.67056991634481,9.70073266940215
1,5,11,1.59830477486777,9.53634549132146
1,5,12,1.29226587178654,9.67726666760826
1,5,13,1.57851007321039,12.5223039759408
1,5,14,1.52666777508628,12.0696513278557
1,5,15,1.51419482682308,13.0325705438093
1,5,16,1.588786557203,10.7686997071679
1,5,17,1.31261623557294,11.4471117095039
1,5,18,1.31334825703098,10.0178632147307
1,6,1,1.04979598413161,12.5900809490295
1,6,2,0.962692200327546,10.2065368420837
1,6,3,0.998174931594839,9.09350522503765
1,6,4,0.795225894164594,10.4074656142208
1,6,5,1.12559389872821,10.9695014268487
1,6,6,0.927057761660581,10.670443096922
1,6,7,0.802101016485931,9.99986479689014
1,6,8,0.948304704612369,11.5337665164062
1,6,9,0.862980406384754,11.5726297372739
1,6,10,0.85469953600197,10.604539838872
1,6,11,0.845465591765765,11.6474244491294
1,6,12,0.950520750979444,12.4300693198725
1,6,13,0.814994241286925,12.2339811879381
1,6,14,0.895186168493238,11.9307176585794
1,7,1,3.51180995283365,21.669322439914
1,7,2,1.90200500418988,10.6320844907713
1,7,3,3.04958926392891,19.3258992943916
1,7,4,3.75986522874435,22.1991336222392
1,7,5,3.73191998280922,19.6751806990009
